response time:defaultUsageScenario;ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:Server1:HDD;ContinuousProcessingRateDegreeImpl:Server2:CPU;ContinuousProcessingRateDegreeImpl:Server2:HDD;ContinuousProcessingRateDegreeImpl:Server3:CPU;ContinuousProcessingRateDegreeImpl:Server3:HDD;ContinuousProcessingRateDegreeImpl:DBServer:CPU;ContinuousProcessingRateDegreeImpl:DBServer:HDD;AllocationDegreeImpl:Allocation_Assembly_C1 <C1> <C1>;AllocationDegreeImpl:Allocation_Assembly_C2 <C2> <C2>;AllocationDegreeImpl:Allocation_Assembly_C3 <C3> <C3>;AllocationDegreeImpl:Allocation_Assembly_DB;AllocationDegreeImpl:Allocation_Assembly_Exporter;CapacityDegreeImpl:semaphore;Util of Server1 CPU;Util of Server1 HDD;Util of Server2 CPU;Util of Server2 HDD;Util of Server3 CPU;Util of Server3 HDD;Util of DBServer CPU;Util of DBServer HDD;Util of aName LAN;Candidate ID;
105.5573;4.5;1000.0;3.0;1000.0;3.0;1000.0;5.0;1000000.0;Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.823333;0.001524;0.6;0.0;0.522;0.0;0.9222;0.468009;0.0393;0;
57.9748;4.718049508356179;1070.9082679098788;5.310156321430489;851.8172328251721;4.70494698933883;590.445851971536;5.562798030554095;567448.4683678511;Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.403769;0.00142309;0.677946;0.0;0.332841;0.0;0.828899;0.82476;0.03;28;
36.9306;4.093746340575311;1938.845092482183;2.3066368411611364;1269.918093092522;5.150187081315574;566.3030230226592;6.677696779429501;1524155.5427068844;Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.465344;7.86035E-4;0.678911;0.0;0.699004;0.0;0.690508;0.307061;0.03;42;
36.9306;6.490506913015207;1439.2051343390383;3.028012837489031;1738.3659192023522;5.015838541237276;827.9260555856963;5.578447640257724;1693088.7447095716;Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.465344;7.86035E-4;0.678911;0.0;0.699004;0.0;0.690508;0.307061;0.03;43;
36.9306;2.4958726675921876;1801.5795509928055;1.5992373373498818;1566.995386668379;5.584993044437338;1248.0708987855683;6.147603466353439;551931.1695038172;Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.465344;7.86035E-4;0.678911;0.0;0.699004;0.0;0.690508;0.307061;0.03;44;
36.9306;7.629541655713108;1474.3044934847592;4.476952977069686;1109.1028460764387;4.919111596929455;988.9508983959179;9.899097206098688;1488082.4712418548;Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.465344;7.86035E-4;0.678911;0.0;0.699004;0.0;0.690508;0.307061;0.03;45;
36.9306;2.7460964897387337;1574.3997424112601;2.6481116466777355;1629.9437765582604;5.496692606598522;1659.8302150977686;2.758559235000822;1496744.500533948;DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.465344;7.86035E-4;0.678911;0.0;0.699004;0.0;0.690508;0.307061;0.03;46;
79.28299999999999;8.810843773088378;1141.2656473455102;4.439006861248865;1180.0170236124636;3.879500684862848;1147.4483155246346;7.720668325689926;999890.7258457681;Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);1;0.0;0.0;0.352782;0.0;0.927954;0.0;0.843968;0.468062;0.0285;59;
79.28299999999999;7.344064145889136;930.1623692923574;5.09079871420296;1051.9520369954907;5.896194778054673;1097.2120247744397;9.01754443023847;840298.1905207894;Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);DBServer (ID: _7jiyMV5LEeavvL8WcdoZSg);1;0.0;0.0;0.352782;0.0;0.927954;0.0;0.843968;0.468062;0.0285;60;
79.28299999999999;6.775455216838863;1585.2219583093433;2.931235900399523;980.0545709711016;2.0334153304271627;1767.8753006288837;6.989622982193922;836367.7498583879;Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.0;0.0;0.352782;0.0;0.927954;0.0;0.843968;0.468062;0.0285;61;
